STRUCTURE;STRUCTURE_ID;STRUCTURE_NAME;ACTION;FREQ;Fréquence;GEO_PICT;Pays et territoires insulaires du Pacifique;INDICATOR;Indicateur;SEX;Sexe;AGE;Âge;URBANIZATION;Urbanisation;DISABILITY;Invalidité;COMPOSITE_BREAKDOWN;Ventilation composite;TIME_PERIOD;Période;OBS_VALUE;Valeur observée;UNIT_MEASURE;Unité de mesure;UNIT_MULT;Multiplicateur d'unités;OBS_STATUS;Statut de l'observation;OBS_COMMENT;Commentaire;DATA_SOURCE;Source de données
DATAFLOW;SPC:DF_NMDI_EDU(1.0);Indicateurs Minima du Développement National (IMDN) pour la l'Éducation;I;A;Annuel;NR;Nauru;NMDI0167;Taux brut de scolarisation - enseignement secondaire (%);_T;Total;_T;Tous les âges;_T;National;_T;Pas de ventilation par handicap;_Z;N'est pas applicable;2008;;63;;;;;;;;Based on population aged 12 to 17 years SDD population estimates for same year;;NSO Website - Nauru - Education enrolment;
DATAFLOW;SPC:DF_NMDI_EDU(1.0);Indicateurs Minima du Développement National (IMDN) pour la l'Éducation;I;A;Annuel;NR;Nauru;NMDI0167;Taux brut de scolarisation - enseignement secondaire (%);_T;Total;_T;Tous les âges;_T;National;_T;Pas de ventilation par handicap;_Z;N'est pas applicable;2011;;49.8;;;;;;;;Upper secondary2015 RoN EMIS data;;"Nauru - Department of Education, Manager of Statistics ";
DATAFLOW;SPC:DF_NMDI_EDU(1.0);Indicateurs Minima du Développement National (IMDN) pour la l'Éducation;I;A;Annuel;NR;Nauru;NMDI0167;Taux brut de scolarisation - enseignement secondaire (%);_T;Total;_T;Tous les âges;_T;National;_T;Pas de ventilation par handicap;_Z;N'est pas applicable;2012;;72.2;;;;;;;;Upper secondary2015 RoN EMIS data;;"Nauru - Department of Education, Manager of Statistics ";
DATAFLOW;SPC:DF_NMDI_EDU(1.0);Indicateurs Minima du Développement National (IMDN) pour la l'Éducation;I;A;Annuel;NR;Nauru;NMDI0167;Taux brut de scolarisation - enseignement secondaire (%);_T;Total;_T;Tous les âges;_T;National;_T;Pas de ventilation par handicap;_Z;N'est pas applicable;2013;;64.7;;;;;;;;Upper secondary2015 RoN EMIS data;;"Nauru - Department of Education, Manager of Statistics ";
DATAFLOW;SPC:DF_NMDI_EDU(1.0);Indicateurs Minima du Développement National (IMDN) pour la l'Éducation;I;A;Annuel;NR;Nauru;NMDI0167;Taux brut de scolarisation - enseignement secondaire (%);_T;Total;_T;Tous les âges;_T;National;_T;Pas de ventilation par handicap;_Z;N'est pas applicable;2014;;61.4;;;;;;;;Upper secondary2015 RoN EMIS data;;"Nauru - Department of Education, Manager of Statistics ";
DATAFLOW;SPC:DF_NMDI_EDU(1.0);Indicateurs Minima du Développement National (IMDN) pour la l'Éducation;I;A;Annuel;NR;Nauru;NMDI0167;Taux brut de scolarisation - enseignement secondaire (%);_T;Total;_T;Tous les âges;_T;National;_T;Pas de ventilation par handicap;_Z;N'est pas applicable;2015;;47.3;;;;;;;;Upper secondary2015 RoN EMIS data;;Nauru - Department of Education, Education Digest 2014;
DATAFLOW;SPC:DF_NMDI_EDU(1.0);Indicateurs Minima du Développement National (IMDN) pour la l'Éducation;I;A;Annuel;NU;Niue;NMDI0167;Taux brut de scolarisation - enseignement secondaire (%);_T;Total;_T;Tous les âges;_T;National;_T;Pas de ventilation par handicap;_Z;N'est pas applicable;2002;;87;;;;;;;;;;Niue - MOE - Niue Education Dept;
DATAFLOW;SPC:DF_NMDI_EDU(1.0);Indicateurs Minima du Développement National (IMDN) pour la l'Éducation;I;A;Annuel;NU;Niue;NMDI0167;Taux brut de scolarisation - enseignement secondaire (%);_T;Total;_T;Tous les âges;_T;National;_T;Pas de ventilation par handicap;_Z;N'est pas applicable;2005;;99;;;;;;;;Secondary;;;
DATAFLOW;SPC:DF_NMDI_EDU(1.0);Indicateurs Minima du Développement National (IMDN) pour la l'Éducation;I;A;Annuel;NU;Niue;NMDI0167;Taux brut de scolarisation - enseignement secondaire (%);_T;Total;_T;Tous les âges;_T;National;_T;Pas de ventilation par handicap;_Z;N'est pas applicable;2006;;91.8;;;;;;;;primary is 5-10, secondary is 11-17;;NSO Website - Niue - Population Profile;
DATAFLOW;SPC:DF_NMDI_EDU(1.0);Indicateurs Minima du Développement National (IMDN) pour la l'Éducation;I;A;Annuel;NU;Niue;NMDI0167;Taux brut de scolarisation - enseignement secondaire (%);_T;Total;_T;Tous les âges;_T;National;_T;Pas de ventilation par handicap;_Z;N'est pas applicable;2008;;90;;;;;;;;;;Niue - MOE - Niue Education Dept;
DATAFLOW;SPC:DF_NMDI_EDU(1.0);Indicateurs Minima du Développement National (IMDN) pour la l'Éducation;I;A;Annuel;NU;Niue;NMDI0167;Taux brut de scolarisation - enseignement secondaire (%);_T;Total;_T;Tous les âges;_T;National;_T;Pas de ventilation par handicap;_Z;N'est pas applicable;2011;;115;;;;;;;;;;Niue - MOE - Niue Education Dept;
DATAFLOW;SPC:DF_NMDI_EDU(1.0);Indicateurs Minima du Développement National (IMDN) pour la l'Éducation;I;A;Annuel;NU;Niue;NMDI0167;Taux brut de scolarisation - enseignement secondaire (%);_T;Total;_T;Tous les âges;_T;National;_T;Pas de ventilation par handicap;_Z;N'est pas applicable;2012;;120;;;;;;;;;;Niue - MOE - Niue Education Dept;
DATAFLOW;SPC:DF_NMDI_EDU(1.0);Indicateurs Minima du Développement National (IMDN) pour la l'Éducation;I;A;Annuel;NU;Niue;NMDI0167;Taux brut de scolarisation - enseignement secondaire (%);_T;Total;_T;Tous les âges;_T;National;_T;Pas de ventilation par handicap;_Z;N'est pas applicable;2013;;107;;;;;;;;;;Niue - MOE - Niue Education Dept;
DATAFLOW;SPC:DF_NMDI_EDU(1.0);Indicateurs Minima du Développement National (IMDN) pour la l'Éducation;I;A;Annuel;NU;Niue;NMDI0167;Taux brut de scolarisation - enseignement secondaire (%);_T;Total;_T;Tous les âges;_T;National;_T;Pas de ventilation par handicap;_Z;N'est pas applicable;2015;;109.6;;;;;;;;"From EPDC; Combined Junior and Senior Secondary";;UIS Databank;
DATAFLOW;SPC:DF_NMDI_EDU(1.0);Indicateurs Minima du Développement National (IMDN) pour la l'Éducation;I;A;Annuel;NC;Nouvelle-Calédonie;SE_ADT_EDUCTRN;Taux de participation des jeunes et des adultes à l'éducation et à la formation formelles et non formelles au cours des 12 mois précédents;_T;Total;_T;Tous les âges;_T;National;_T;Pas de ventilation par handicap;_Z;N'est pas applicable;2015;;27;;PERCENT;pourcents;;;;;;;Nouvelle-Cal�donie, ISEE, Recensement 2014;
DATAFLOW;SPC:DF_NMDI_EDU(1.0);Indicateurs Minima du Développement National (IMDN) pour la l'Éducation;I;A;Annuel;WS;Samoa;NMDI0018;Taux brut de scolarisation dans l'enseignement primaire (%);_T;Total;_T;Tous les âges;_T;National;_T;Pas de ventilation par handicap;_Z;N'est pas applicable;2002;;97;;;;;;;;;;Samoa - MoE -Education Statistical Digest 2011;
DATAFLOW;SPC:DF_NMDI_EDU(1.0);Indicateurs Minima du Développement National (IMDN) pour la l'Éducation;I;A;Annuel;WS;Samoa;NMDI0018;Taux brut de scolarisation dans l'enseignement primaire (%);_T;Total;_T;Tous les âges;_T;National;_T;Pas de ventilation par handicap;_Z;N'est pas applicable;2003;;104;;;;;;;;;;Samoa - MoE -Education Statistical Digest 2011;
DATAFLOW;SPC:DF_NMDI_EDU(1.0);Indicateurs Minima du Développement National (IMDN) pour la l'Éducation;I;A;Annuel;WS;Samoa;NMDI0018;Taux brut de scolarisation dans l'enseignement primaire (%);_T;Total;_T;Tous les âges;_T;National;_T;Pas de ventilation par handicap;_Z;N'est pas applicable;2004;;105;;;;;;;;;;Samoa - MoE -Education Statistical Digest 2011;
DATAFLOW;SPC:DF_NMDI_EDU(1.0);Indicateurs Minima du Développement National (IMDN) pour la l'Éducation;I;A;Annuel;WS;Samoa;NMDI0018;Taux brut de scolarisation dans l'enseignement primaire (%);_T;Total;_T;Tous les âges;_T;National;_T;Pas de ventilation par handicap;_Z;N'est pas applicable;2005;;106;;;;;;;;;;Samoa - MoE -Education Statistical Digest 2011;
DATAFLOW;SPC:DF_NMDI_EDU(1.0);Indicateurs Minima du Développement National (IMDN) pour la l'Éducation;I;A;Annuel;WS;Samoa;NMDI0018;Taux brut de scolarisation dans l'enseignement primaire (%);_T;Total;_T;Tous les âges;_T;National;_T;Pas de ventilation par handicap;_Z;N'est pas applicable;2006;;105;;;;;;;;;;Samoa - MoE -Education Statistical Digest 2011;
DATAFLOW;SPC:DF_NMDI_EDU(1.0);Indicateurs Minima du Développement National (IMDN) pour la l'Éducation;I;A;Annuel;WS;Samoa;NMDI0018;Taux brut de scolarisation dans l'enseignement primaire (%);_T;Total;_T;Tous les âges;_T;National;_T;Pas de ventilation par handicap;_Z;N'est pas applicable;2007;;105.3;;;;;;;;primary is 5-12 years old, secondary is 13-17 years old;;NSO Website - Samoa - Education;
DATAFLOW;SPC:DF_NMDI_EDU(1.0);Indicateurs Minima du Développement National (IMDN) pour la l'Éducation;I;A;Annuel;WS;Samoa;NMDI0018;Taux brut de scolarisation dans l'enseignement primaire (%);_T;Total;_T;Tous les âges;_T;National;_T;Pas de ventilation par handicap;_Z;N'est pas applicable;2008;;105;;;;;;;;;;Samoa - MoE -Education Statistical Digest 2011;
DATAFLOW;SPC:DF_NMDI_EDU(1.0);Indicateurs Minima du Développement National (IMDN) pour la l'Éducation;I;A;Annuel;WS;Samoa;NMDI0018;Taux brut de scolarisation dans l'enseignement primaire (%);_T;Total;_T;Tous les âges;_T;National;_T;Pas de ventilation par handicap;_Z;N'est pas applicable;2009;;104;;;;;;;;;;Samoa - MoE -Education Statistical Digest 2011;
DATAFLOW;SPC:DF_NMDI_EDU(1.0);Indicateurs Minima du Développement National (IMDN) pour la l'Éducation;I;A;Annuel;WS;Samoa;NMDI0018;Taux brut de scolarisation dans l'enseignement primaire (%);_T;Total;_T;Tous les âges;_T;National;_T;Pas de ventilation par handicap;_Z;N'est pas applicable;2010;;108;;;;;;;;;;Samoa - MoE -Education Statistical Digest 2011;
DATAFLOW;SPC:DF_NMDI_EDU(1.0);Indicateurs Minima du Développement National (IMDN) pour la l'Éducation;I;A;Annuel;WS;Samoa;NMDI0018;Taux brut de scolarisation dans l'enseignement primaire (%);_T;Total;_T;Tous les âges;_T;National;_T;Pas de ventilation par handicap;_Z;N'est pas applicable;2011;;103.3;;;;;;;;39,114 primary school enrolments out of a base population of 37,876 official primary age 5-12 years (SDD population estimates 2011) Note 2011 Census data not available at this time;;Samoa - MoE -Education Statistical Digest 2011;
DATAFLOW;SPC:DF_NMDI_EDU(1.0);Indicateurs Minima du Développement National (IMDN) pour la l'Éducation;I;A;Annuel;WS;Samoa;NMDI0018;Taux brut de scolarisation dans l'enseignement primaire (%);_T;Total;_T;Tous les âges;_T;National;_T;Pas de ventilation par handicap;_Z;N'est pas applicable;2012;;103;;;;;;;;39,073 students enrolled;;Samoa - MOE - Education Statistical Digest 2012;
DATAFLOW;SPC:DF_NMDI_EDU(1.0);Indicateurs Minima du Développement National (IMDN) pour la l'Éducation;I;A;Annuel;WS;Samoa;NMDI0018;Taux brut de scolarisation dans l'enseignement primaire (%);_T;Total;_T;Tous les âges;_T;National;_T;Pas de ventilation par handicap;_Z;N'est pas applicable;2013;;109;;;;;;;;;;Samoa - MOE- Education Statistical Digest 2015;
DATAFLOW;SPC:DF_NMDI_EDU(1.0);Indicateurs Minima du Développement National (IMDN) pour la l'Éducation;I;A;Annuel;WS;Samoa;NMDI0018;Taux brut de scolarisation dans l'enseignement primaire (%);_T;Total;_T;Tous les âges;_T;National;_T;Pas de ventilation par handicap;_Z;N'est pas applicable;2014;;108;;;;;;;;;;Samoa - MOE- Education Statistical Digest 2015;
DATAFLOW;SPC:DF_NMDI_EDU(1.0);Indicateurs Minima du Développement National (IMDN) pour la l'Éducation;I;A;Annuel;WS;Samoa;NMDI0018;Taux brut de scolarisation dans l'enseignement primaire (%);_T;Total;_T;Tous les âges;_T;National;_T;Pas de ventilation par handicap;_Z;N'est pas applicable;2015;;107;;;;;;;;;;2017 reportGPI-GER;
DATAFLOW;SPC:DF_NMDI_EDU(1.0);Indicateurs Minima du Développement National (IMDN) pour la l'Éducation;I;A;Annuel;WS;Samoa;NMDI0018;Taux brut de scolarisation dans l'enseignement primaire (%);_T;Total;_T;Tous les âges;_T;National;_T;Pas de ventilation par handicap;_Z;N'est pas applicable;2016;;107;;;;;;;;From MoE Education Digest 2016;;Samoa - MOE- Education Statistical Digest 2015;
DATAFLOW;SPC:DF_NMDI_EDU(1.0);Indicateurs Minima du Développement National (IMDN) pour la l'Éducation;I;A;Annuel;WS;Samoa;NMDI0018;Taux brut de scolarisation dans l'enseignement primaire (%);_T;Total;_T;Tous les âges;_T;National;_T;Pas de ventilation par handicap;_Z;N'est pas applicable;2017;;107;;;;;;;;;;2017 report;
DATAFLOW;SPC:DF_NMDI_EDU(1.0);Indicateurs Minima du Développement National (IMDN) pour la l'Éducation;I;A;Annuel;SB;Salomon;NMDI0429;Taux d'abandon (DR);_T;Total;_T;Tous les âges;_T;National;_T;Pas de ventilation par handicap;_Z;N'est pas applicable;2010;;7;;;;;;;;(Average) Prep to Year 6;;Solomon Islands-MHRD-Performance Assessement Report (PAR) 2010-2014;
DATAFLOW;SPC:DF_NMDI_EDU(1.0);Indicateurs Minima du Développement National (IMDN) pour la l'Éducation;I;A;Annuel;SB;Salomon;NMDI0429;Taux d'abandon (DR);_T;Total;_T;Tous les âges;_T;National;_T;Pas de ventilation par handicap;_Z;N'est pas applicable;2011;;9;;;;;;;;(Average) Prep to Year 6;;Solomon Islands-MHRD-Performance Assessement Report (PAR) 2010-2014;
DATAFLOW;SPC:DF_NMDI_EDU(1.0);Indicateurs Minima du Développement National (IMDN) pour la l'Éducation;I;A;Annuel;SB;Salomon;NMDI0429;Taux d'abandon (DR);_T;Total;_T;Tous les âges;_T;National;_T;Pas de ventilation par handicap;_Z;N'est pas applicable;2012;;6;;;;;;;;(Average) Prep to Year 6;;Solomon Islands-MHRD-Performance Assessement Report (PAR) 2010-2014;
DATAFLOW;SPC:DF_NMDI_EDU(1.0);Indicateurs Minima du Développement National (IMDN) pour la l'Éducation;I;A;Annuel;SB;Salomon;NMDI0429;Taux d'abandon (DR);_T;Total;_T;Tous les âges;_T;National;_T;Pas de ventilation par handicap;_Z;N'est pas applicable;2013;;7;;;;;;;;(Average) Prep to Year 6;;Solomon Islands-MHRD-Performance Assessement Report (PAR) 2010-2014;
DATAFLOW;SPC:DF_NMDI_EDU(1.0);Indicateurs Minima du Développement National (IMDN) pour la l'Éducation;I;A;Annuel;SB;Salomon;NMDI0429;Taux d'abandon (DR);_T;Total;_T;Tous les âges;_T;National;_T;Pas de ventilation par handicap;_Z;N'est pas applicable;2014;;6;;;;;;;;(Average) Prep to Year 6;;Solomons Islands - MoE Education Digest;
